,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,lam3,threshold,record,evaluation
1,0.1732763880414887,0.6068376068376068,0.26957759848125296,0.2,0.15386328956015194,0.4309602545704124,0.22676570771945664,30,3.0,7227,record
2,0.003367003367003367,0.010638297872340425,0.005115089514066496,0.3,0.002950901269243076,0.00652875009832455,0.0040646425073457395,30,3.0,6945,record
2,0.4213197969543147,0.3738738738738739,0.39618138424821003,0.3,0.43364393801749423,0.23464558082049408,0.30451662292213477,30,3.0,6990,record
2,0.07075767063243582,0.551219512195122,0.1254162042175361,0.3,0.06813690918679197,0.432628691302243,0.11773165657574777,30,3.0,7184,record
2,0.25691699604743085,0.35583941605839414,0.29839326702371843,0.3,0.2311898833064792,0.22973448321870868,0.23045988550013083,30,3.0,6866,record
2,0.49489795918367346,0.4287292817679558,0.45944345766725875,0.3,0.48804535084043393,0.3076217588448501,0.3773773413380618,30,3.0,7084,record
2,0.1610738255033557,0.5641025641025641,0.25059326056003794,0.3,0.15386328956015194,0.4309602545704124,0.22676570771945664,30,3.0,7227,record
3,0.0,0.0,0.0,0.4,0.0023496503496503495,0.006607409738063399,0.0034665621195551243,30,2.5,6945,record
3,0.32662192393736017,0.32882882882882886,0.3277216610549944,0.4,0.43018240632581545,0.26895689667279954,0.33097989059515887,30,2.5,6990,record
3,0.050253807106598984,0.48292682926829267,0.09103448275862068,0.4,0.05984453849910467,0.47458447635952883,0.10628647837950164,30,2.5,7184,record
3,0.2054958183990442,0.31386861313868614,0.24837545126353788,0.4,0.23313439024124122,0.25917300437878293,0.24546509357014026,30,2.5,6866,record
3,0.4119047619047619,0.38232044198895027,0.3965616045845272,0.4,0.48492717983506817,0.33566407912307217,0.39672037322881076,30,2.5,7084,record
3,0.13024523160762944,0.5106837606837606,0.20755536257056012,0.4,0.14522898709532242,0.4630935296686841,0.22111495922243324,30,2.5,7227,record
4,0.0,0.0,0.0,0.5,0.0023496503496503495,0.006607409738063399,0.0034665621195551243,30,2.5,6945,record
4,0.232662192393736,0.23423423423423423,0.23344556677890008,0.5,0.43018240632581545,0.26895689667279954,0.33097989059515887,30,2.5,6990,record
4,0.03959390862944162,0.3804878048780488,0.07172413793103448,0.5,0.05984453849910467,0.47458447635952883,0.10628647837950164,30,2.5,7184,record
4,0.13739545997610514,0.20985401459854014,0.16606498194945848,0.5,0.23313439024124122,0.25917300437878293,0.24546509357014026,30,2.5,6866,record
4,0.30714285714285716,0.2850828729281768,0.295702005730659,0.5,0.48492717983506817,0.33566407912307217,0.39672037322881076,30,2.5,7084,record
4,0.09754768392370572,0.38247863247863245,0.15544941380807642,0.5,0.14522898709532242,0.4630935296686841,0.22111495922243324,30,2.5,7227,record
5,0.0,0.0,0.0,0.6,0.004988456464379947,0.0190356328168017,0.007905267456104533,30,2.0,6945,record
5,0.14473684210526316,0.17342342342342343,0.15778688524590165,0.6,0.4001885676255269,0.3040266288394826,0.34554204943612177,30,2.0,6990,record
