,precision,recall,f1,iou_th,lam3,threshold,record
1,0.3494983277591973,0.4994026284348865,0.411214953271028,0.2,46,0.5,01-02-0006
2,0.34531772575250835,0.4934289127837515,0.4062961141170684,0.3,46,0.5,01-02-0006
3,0.33361204013377926,0.4767025089605735,0.39252336448598135,0.4,46,0.5,01-02-0006
4,0.3060200668896321,0.43727598566308246,0.3600590260698475,0.5,46,0.5,01-02-0006
5,0.2591973244147157,0.37037037037037035,0.30496802754549923,0.6,46,0.5,01-02-0006
6,0.1939799331103679,0.27718040621266427,0.2282341367437285,0.7,46,0.5,01-02-0006
7,0.11120401337792642,0.15890083632019117,0.1308411214953271,0.8,46,0.5,01-02-0006
8,0.030936454849498328,0.04420549581839905,0.03639940973930152,0.9,46,0.5,01-02-0006
0,0.35504014272970563,0.4755077658303465,0.4065372829417773,0.1,47,0.5,01-02-0006
1,0.3541480820695807,0.4743130227001195,0.40551583248212464,0.2,47,0.5,01-02-0006
2,0.35236396074933096,0.47192353643966545,0.4034729315628192,0.3,47,0.5,01-02-0006
3,0.3407671721677074,0.45639187574671447,0.390194075587334,0.4,47,0.5,01-02-0006
4,0.3157894736842105,0.4229390681003584,0.36159346271705817,0.5,47,0.5,01-02-0006
5,0.264049955396967,0.3536439665471924,0.30234933605720127,0.6,47,0.5,01-02-0006
6,0.19536128456735058,0.2616487455197133,0.22369765066394282,0.7,47,0.5,01-02-0006
7,0.11239964317573595,0.15053763440860216,0.12870275791624106,0.8,47,0.5,01-02-0006
8,0.03300624442462088,0.04420549581839905,0.03779366700715016,0.9,47,0.5,01-02-0006
0,0.35619047619047617,0.44683393070489846,0.39639639639639634,0.1,48,0.5,01-02-0006
1,0.35523809523809524,0.44563918757467147,0.3953365129835718,0.2,48,0.5,01-02-0006
2,0.3514285714285714,0.44086021505376344,0.3910969793322734,0.3,48,0.5,01-02-0006
3,0.33904761904761904,0.4253285543608124,0.37731849496555375,0.4,48,0.5,01-02-0006
4,0.3161904761904762,0.3966547192353644,0.35188129305776367,0.5,48,0.5,01-02-0006
5,0.2704761904761905,0.33930704898446834,0.30100688924218333,0.6,48,0.5,01-02-0006
6,0.18571428571428572,0.23297491039426524,0.20667726550079493,0.7,48,0.5,01-02-0006
7,0.10952380952380952,0.13739545997610514,0.12188659247482778,0.8,48,0.5,01-02-0006
8,0.029523809523809525,0.037037037037037035,0.03285638579756227,0.9,48,0.5,01-02-0006
0,0.4462631253860408,0.9025608994378513,0.5972308328166976,0.1,45,0.5,01-02-0007
1,0.43607164916615193,0.8819487820112429,0.5835916511675966,0.2,45,0.5,01-02-0007
2,0.41630636195182213,0.8419737663960025,0.557139904939037,0.3,45,0.5,01-02-0007
3,0.38573193329215566,0.7801374141161774,0.5162223599917339,0.4,45,0.5,01-02-0007
