,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,record,evaluation
3,0.1738891936368623,0.7951505016722408,0.2853713428357089,0.4,0.276144411983453,0.7541345737718411,0.40425952836056267,01-02-0012,record
4,0.15395867617480344,0.7040133779264214,0.2526631657914479,0.5,0.276144411983453,0.7541345737718411,0.40425952836056267,01-02-0012,record
5,0.12872554397513256,0.5886287625418061,0.2112528132033008,0.6,0.276144411983453,0.7541345737718411,0.40425952836056267,01-02-0012,record
6,0.08959590418723716,0.4096989966555184,0.14703675918979744,0.7,0.276144411983453,0.7541345737718411,0.40425952836056267,01-02-0012,record
7,0.05064911318339733,0.23160535117056857,0.08312078019504876,0.8,0.276144411983453,0.7541345737718411,0.40425952836056267,01-02-0012,record
8,0.012068019747668678,0.05518394648829431,0.01980495123780945,0.9,0.276144411983453,0.7541345737718411,0.40425952836056267,01-02-0012,record
0,0.22195666029318037,0.973445143256464,0.3614895549500454,0.1,0.34919762010394756,0.7212670361201461,0.470570851654269,01-02-0013,record
1,0.22036328871892927,0.9664570230607966,0.3588945114830674,0.2,0.34919762010394756,0.7212670361201461,0.470570851654269,01-02-0013,record
2,0.21048438495857233,0.923130677847659,0.34280524198780327,0.3,0.34919762010394756,0.7212670361201461,0.470570851654269,01-02-0013,record
3,0.19120458891013384,0.8385744234800838,0.3114052160373686,0.4,0.34919762010394756,0.7212670361201461,0.470570851654269,01-02-0013,record
4,0.16539196940726578,0.7253668763102725,0.2693655118723239,0.5,0.34919762010394756,0.7212670361201461,0.470570851654269,01-02-0013,record
5,0.12635436583811344,0.5541579315164221,0.2057869469313611,0.6,0.34919762010394756,0.7212670361201461,0.470570851654269,01-02-0013,record
6,0.084289356277884,0.3696715583508036,0.13727779940314,0.7,0.34919762010394756,0.7212670361201461,0.470570851654269,01-02-0013,record
7,0.04238368387507967,0.18588399720475193,0.06902815622161672,0.8,0.34919762010394756,0.7212670361201461,0.470570851654269,01-02-0013,record
8,0.011631612492033143,0.05101327742837177,0.018943817308939927,0.9,0.34919762010394756,0.7212670361201461,0.470570851654269,01-02-0013,record
0,0.24172823642788308,0.9324659231722429,0.3839285714285714,0.1,0.33344696009884706,0.7744481974642196,0.4661765970103097,01-02-0014,record
1,0.2412463861227112,0.9306071871127634,0.38316326530612244,0.2,0.33344696009884706,0.7744481974642196,0.4661765970103097,01-02-0014,record
2,0.23369739800835207,0.9014869888475836,0.3711734693877551,0.3,0.33344696009884706,0.7744481974642196,0.4661765970103097,01-02-0014,record
3,0.21683263732733699,0.8364312267657993,0.34438775510204084,0.4,0.33344696009884706,0.7744481974642196,0.4661765970103097,01-02-0014,record
4,0.19000963700610343,0.7329615861214375,0.3017857142857143,0.5,0.33344696009884706,0.7744481974642196,0.4661765970103097,01-02-0014,record
5,0.15387086411821393,0.5935563816604709,0.24438775510204083,0.6,0.33344696009884706,0.7744481974642196,0.4661765970103097,01-02-0014,record
6,0.11468037263090267,0.4423791821561338,0.18214285714285713,0.7,0.33344696009884706,0.7744481974642196,0.4661765970103097,01-02-0014,record
7,0.061034371988435594,0.23543990086741015,0.09693877551020406,0.8,0.33344696009884706,0.7744481974642196,0.4661765970103097,01-02-0014,record
8,0.017989078059749437,0.06939281288723669,0.02857142857142857,0.9,0.33344696009884706,0.7744481974642196,0.4661765970103097,01-02-0014,record
0,0.3774333093006489,0.8790931989924433,0.5281210592686003,0.1,0.4714327088900883,0.5343840467971229,0.5009384012440519,01-02-0017,record
1,0.3723864455659697,0.8673383711167086,0.5210592686002522,0.2,0.4714327088900883,0.5343840467971229,0.5009384012440519,01-02-0017,record
